Source page: https://www.congress.gov/help/field-values/member-bioguide-ids?loclr=bloglaw,,
member_value,bioguideid_value,
"Bustamante, Albert G. (Democratic - Texas)",B001172,
"Bustos, Cheri (Democratic - Illinois)",B001286,
"Butler, M. Caldwell (Republican - Virginia)",B001182,
"Butterfield, G. K. (Democratic - North Carolina)",B001251,
"Buyer, Steve (Republican - Indiana)",B001203,
"Byrd, Harry F., Jr. (Independent - Virginia)",B001209,
"Byrd, Robert C. (Democratic - West Virginia)",B001210,
"Byrne, Bradley (Republican - Alabama)",B001289,
"Byrne, Leslie L. (Democratic - Virginia)",B001213,
"Byron, Beverly B. (Democratic - Maryland)",B001220,
"Byron, Goodloe E. (Democratic - Maryland)",B001221,
"Callahan, Sonny (Republican - Alabama)",C000052,
"Calvert, Ken (Republican - California)",C000059,
"Camp, Dave (Republican - Michigan)",C000071,
"Camp, John N. Happy (Republican - Oklahoma)",C000073,
"Campbell, Ben Nighthorse (Republican - Colorado)",C000077,
"Campbell, Carroll A., Jr. (Republican - South Carolina)",C000079,
"Campbell, John (Republican - California)",C001064,
"Campbell, Tom (Republican - California)",C000100,
"Canady, Charles T. (Republican - Florida)",C000107,
"Cannon, Chris (Republican - Utah)",C000116,
"Cannon, Howard W. (Democratic - Nevada)",C000120,
"Canseco, Francisco ""Quico (Republican - Texas)""",C001082,
"Cantor, Eric (Republican - Virginia)",C001046,
"Cantwell, Maria (Democratic - Washington)",C000127,
"Cao, Anh ""Joseph (Republican - Louisiana)""",C001079,
"Capito, Shelley Moore (Republican - West Virginia)",C001047,
"Capps, Lois (Democratic - California)",C001036,
"Capps, Walter (Democratic - California)",C000134,
"Capuano, Michael E. (Democratic - Massachusetts)",C001037,
"Caputo, Bruce F. (Republican - New York)",C000137,
"Cardenas, Tony (Democratic - California)",C001097,
"Cardin, Benjamin L. (Democratic - Maryland)",C000141,
"Cardoza, Dennis A. (Democratic - California)",C001050,
"Carey, Hugh L. (Democratic - New York)",C000143,
"Carman, Gregory W. (Republican - New York)",C000158,
"Carnahan, Jean (Democratic - Missouri)",C001043,
"Carnahan, Russ (Democratic - Missouri)",C001060,
"Carney, Charles J. (Democratic - Ohio)",C000164,
"Carney, Christopher P. (Democratic - Pennsylvania)",C001065,
"Carney, John C., Jr. (Democratic - Delaware)",C001083,
"Carney, William (Republican - New York)",C000165,
"Carper, Thomas R. (Democratic - Delaware)",C000174,
"Carr, Bob (Democratic - Michigan)",C000178,
"Carson, Andre (Democratic - Indiana)",C001072,
"Carson, Brad (Democratic - Oklahoma)",C001044,
"Carson, Julia (Democratic - Indiana)",C000191,
"Carter, Earl L. ""Buddy (Republican - Georgia)""",C001103,
"Carter, John R. (Republican - Texas)",C001051,
"Carter, Tim Lee (Republican - Kentucky)",C000201,
"Cartwright, Matt (Democratic - Pennsylvania)",C001090,
"Case, Clifford P. (Republican - New Jersey)",C000220,
"Case, Ed (Democratic - Hawaii)",C001055,
"Casey, Bob (Democratic - Texas)",C000228,
"Casey, Robert P., Jr. (Democratic - Pennsylvania)",C001070,
"Cassidy, Bill (Republican - Louisiana)",C001075,
"Castle, Michael N. (Republican - Delaware)",C000243,
"Castor, Kathy (Democratic - Florida)",C001066,
"Castro, Joaquin (Democratic - Texas)",C001091,
